id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
1;-въ;Звезда, звезда;Цинтия на 1832. М., 1831. С. 132-133;1831;1830;Песня;;1831;periodical;Я21мд;reg;unrhymed;core;Я;21;мд;рз;no;
2;Б/П;Что ты, конь-донец лихой;Литературная газета. 1840. № 13, февраля 14. С. 298;1840;1830;Конь;;1840;periodical;Х4ммжмжм;unreg;rhymed;core;Х;4;ммжмжм;4;no;
3;Б/П;Ты почем, сердечко;Литературная газета. 1840. № 61, 31 июля. С. 1365;1840;1830;К сердечку;;1840;periodical;Х3ж;unreg, сбои, сверхсхемные, амф;occ;core;Х;3;ж;3;no;
4;Одоевский, А.И;Как носятся тучи за ветром осенним;Современник. 1853. № 11. С. 59 + БП 1958;1831;1830;К ***;приписываемое Одоевскому;1853;periodical;Аф3жм;reg;unrhymed;core;Аф;3;жм;3;no;
5;N.N.;Ах, знаю я, красавица;Лит.прибав. Рус. Инвалид. 1833. № 20, март 11. С. 159;1833;1830;Русская песня;;1833;periodical;Я3дм;unreg, cбивается на Я4м в Я3д;rhymed;core;Я;3;дм;3;no;
6;А.Д.;Ветер бурный воет в поле;ВЕ. 1825. № 11. С.218-219.;1824;1820;Песня;;1825;periodical;Х223ж;reg;unrhymed;core;Х;223;ж;рз;no;
7;Авдуловский;Ляжу я засну;Литературная газета М., 1847. № 16, 16 апреля. С. 254-255;1847;1840;Ляжу я засну;мы получили из Воронежа девять стихотворений от г-на Авдуловского… представим самим читателям сделать заключение о достоинстве этих стихотворений, подобных которым немного на русском языке;1847;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
8;Ал. Бистром;Ласточка летит из-за моря;Лит.прибав. Рус. Инвалид. 1835. № 21, март 13. С. 167;1835;1830;Песня;;1835;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;no;
9;Ал. Бистром;В воскресный день все девушки;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 110-111;1826;1820;Песня;;1826;periodical;Я3дм;reg;occ;core;Я;3;дм;3;no;
10;Аладьин, Е.В.;Ах не ветры не осенние;Аладьин, Е.В. Мои досуги. СПб., 1824. С. 14-15.;1824;1820;Песня;;1824;collection;Х4д;reg;occ;core;Х;4;д;4;no;
