Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"и",0.8303429859,0.8415383997,1.3730759834,4.6078956101,2.1260056043,0.9586800859
"я",3.8888425269,3.2182614636,4.202296604,2.2474014922,3.8325951369,3.2392229686
"в",1.4520570809,1.5383997106,1.8177376008,2.8568064312,2.5707312664,1.5014481457
"не",3.0042560294,2.7609211108,2.7999022722,1.736263501,3.4276416885,2.654233247
"на",2.1071517984,2.0809387936,1.783532861,1.2345454351,1.4534936274,2.1357283141
"ты",1.6147876158,1.8197162722,2.0180796482,1.2069279269,2.337521468,1.844570791
"он",0.6425769841,0.6992725957,0.8502321036,1.4312398977,1.0304619,0.7899844869
"с",0.9304848535,1.1365189085,1.0456877596,1.2710476456,1.4806110458,0.9613547613
"мой",1.8192439289,1.5488486115,1.7688736868,0.7485094039,1.4986893248,1.4374469841
"как",0.6884753401,0.6823936021,0.8111409724,0.9659169976,0.8749887011,0.7636198293
"быть",0.8011349412,0.7571434313,0.7964817982,0.8695768527,0.7574798879,0.7596078162
"что",0.8303429859,0.820640598,1.1092108478,0.8272407112,1.0702341137,0.823800026
"то",0.9388300092,0.9524575011,0.7769362326,0.4902107708,0.4374943505,1.09527958
"она",0.3254610698,0.446891452,0.3469337894,0.6790909772,0.7538642321,0.3985266359
"мы",0.2879078695,0.4404613592,0.2882970926,0.5735985185,0.4139925879,0.4606173151
"за",0.9513477426,1.040067516,0.9235279746,0.4046286087,0.5098074663,0.8545587932
"по",1.218392723,1.2160913073,0.9381871488,0.3095729991,0.6273162795,1.1237457683
"но",0.0125177335,0.0120564241,0.0439775226,0.7193397489,0.2874446353,0.0118449911
"а",0.5966786281,0.6864124101,0.6743220132,0.4143696678,0.4971526711,0.8119550349
"к",0.3463239589,0.3898243781,0.4495480088,0.507926653,0.5134231221,0.4229808111
"они",0.1335224902,0.1599485593,0.2589787442,0.5645532493,0.2440567658,0.2011738004
"вы",0.3588416924,0.4983321947,0.4446616174,0.4387223156,0.4212238995,0.4867909244
"все",0.1794208462,0.2596149982,0.2882970926,0.5077125638,0.4537648016,0.2170308046
"свой",0.3546691146,0.4155447494,0.3811385292,0.446215438,0.3724125463,0.3838159212
"весь",0.4297755153,0.5079773339,0.4788663572,0.4132456995,0.3434873,0.4147657366
"во",1.0723524994,1.1148173452,1.026142194,0.166721973,0.2350176263,1.0826703959
"у",1.0097638321,0.739460676,0.7182995358,0.2172470268,0.3977221369,0.8174954339
"да",1.0222815656,0.5610255998,0.3518201808,0.1852406898,0.2892524632,0.9023208541
"твой",0.1293499124,0.1695936985,0.24431957,0.4187584967,0.327216849,0.169459792
"душа",0.0876241342,0.1567335128,0.2247740044,0.3509992614,0.37783603,0.1918124365
"о",0.0500709338,0.0329542258,0.0586366968,0.4042004303,0.224170659,0.0397380346
"милый",0.5090544939,0.7370493912,0.7915954068,0.1588006722,0.7574798879,0.6262561422
"от",0.2002837353,0.1985291163,0.1807964818,0.3385820872,0.3995299647,0.1864630857
"тот",0.275390136,0.3383836354,0.4348888346,0.2845780837,0.3055229142,0.3270745929
"ли",0.5549528499,0.5320901821,0.5472758368,0.2002269346,0.4501491458,0.5250005731
"друг",0.275390136,0.2459510509,0.3957977034,0.2881105557,0.7104763627,0.2594435147
"из",0.2503546691,0.2547924286,0.3273882238,0.2753722476,0.2205550032,0.3093071062
"так",0.0375532004,0.0570670739,0.1563645248,0.3443089735,0.327216849,0.0720251878
"сердце",0.2128014687,0.1880802154,0.2785243098,0.2877358995,0.7014372232,0.1579968974
"кто",0.3296336477,0.2146043484,0.1759100904,0.2839893384,0.2386332821,0.206332103
"один",0.1502128015,0.2732789455,0.24431957,0.2744088462,0.3109463979,0.2030842828
"где",0.1961111575,0.1720049833,0.1417053506,0.2992967169,0.2422489379,0.1283844196
"уж",0.367186848,0.4476952136,0.2345467872,0.1941253921,0.3380638163,0.4107537235
"ни",0.2545272469,0.438853836,0.2882970926,0.2235091363,0.2729820121,0.21970548
"нет",0.1126596011,0.1277980951,0.1563645248,0.264828354,0.3868751695,0.1450056168
"под",0.2169740466,0.2885504159,0.2247740044,0.2142497779,0.1988610684,0.2772110013
"день",0.0417257782,0.0707310212,0.097727828,0.2726426102,0.3217933653,0.0641922098
"любить",0.275390136,0.3745529076,0.4300024432,0.1696656997,0.3181777095,0.2913485713
"себя",0.2545272469,0.2202306796,0.2589787442,0.2034382727,0.2332097984,0.2095799231
"когда",0.045898356,0.0860024917,0.0879550452,0.2644536979,0.1066618458,0.0531114117
"же",0.1669031127,0.2073704939,0.0390911312,0.2122159304,0.2476724216,0.1912392917
"молодец",0.4798464491,0.6092512961,0.4690935744,0.0144510217,0.4230317274,0.7447060532
"со",0.3588416924,0.4292086967,0.4251160518,0.1029233882,0.224170659,0.4881282621
"рука",0.2002837353,0.146284612,0.1905692646,0.214089211,0.1319714363,0.1635372964
