"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"я" 3.71 4.09 4.07 3.17 3.07 3.06 4.1 4.1 4.39 2.44 2.33 2.27 3.8 4.01 4.07 3.09 3.31 3.25
"не" 3.11 3.05 2.84 2.66 2.81 2.84 2.82 2.91 2.68 1.62 1.63 1.68 3.44 3.58 3.52 2.61 2.67 2.56
"в" 1.45 1.48 1.5 1.47 1.72 1.55 1.74 1.92 2.01 2.71 3.1 3.09 2.76 2.63 2.78 1.48 1.57 1.54
"и" 0.83 0.81 0.87 0.88 0.84 0.87 1.3 1.47 1.35 4.61 5.06 4.96 2.17 2 1.95 1.07 0.91 0.87
"на" 2.24 2.05 2.18 2.16 2.18 2.13 1.78 1.76 1.83 1.32 1.27 1.22 1.48 1.61 1.45 2.1 1.88 2.14
"ты" 1.79 1.49 1.56 1.73 1.63 2 2.01 2.16 2 1.26 1.27 0.93 2.3 2.33 2.19 1.8 2.02 1.97
"мой" 1.9 1.98 1.74 1.86 1.7 1.53 1.67 1.91 1.8 0.69 0.7 0.83 1.51 1.45 1.74 1.21 1.63 1.46
"с" 0.89 0.84 0.84 1.11 1.35 1.11 0.91 0.95 0.98 1.48 1.18 1.44 1.46 1.45 1.5 0.91 0.81 0.83
"он" 0.53 0.64 0.66 0.7 0.78 0.65 0.92 0.93 0.84 1.53 1.47 1.62 1.09 0.83 1.14 0.87 0.78 0.89
"что" 0.81 0.81 0.7 0.86 0.72 0.9 1.28 1.02 1.08 0.97 0.74 0.77 1.04 1.07 0.93 0.95 0.9 0.78
"по" 1.33 1.12 1.27 1.21 1.15 1.18 0.85 0.87 0.86 0.31 0.24 0.31 0.53 0.61 0.61 1.4 1.18 1.11
"как" 0.77 0.68 0.61 0.68 0.79 0.61 0.78 0.92 0.85 1.08 0.95 0.95 0.92 0.92 0.82 0.93 0.82 0.72
"то" 0.83 0.9 1.01 0.91 0.99 1.06 0.8 0.77 0.78 0.57 0.52 0.61 0.45 0.4 0.41 0.9 1.14 1.07
"за" 0.73 1 1.05 1.11 1.22 0.91 0.9 0.85 0.92 0.41 0.43 0.36 0.57 0.58 0.6 0.89 0.77 0.81
"во" 1.11 1.02 1.08 1.09 1.05 1.26 0.95 0.95 0.93 0.17 0.15 0.18 0.22 0.29 0.2 1.19 1.13 1.04
"быть" 0.77 0.84 0.81 0.67 0.58 0.84 0.81 0.73 0.73 0.91 0.83 0.75 0.72 0.76 0.72 0.88 0.73 0.67
"у" 0.98 0.88 1.01 0.76 0.63 0.84 0.73 0.59 0.74 0.2 0.2 0.18 0.38 0.43 0.35 0.87 0.61 0.77
"а" 0.61 0.55 0.72 0.7 0.63 0.61 0.66 0.61 0.67 0.37 0.52 0.44 0.54 0.5 0.57 0.8 0.76 0.81
"милый" 0.5 0.43 0.54 0.83 0.7 0.65 0.81 0.74 0.67 0.21 0.13 0.11 0.76 0.81 0.9 0.64 0.65 0.72
"да" 1.11 0.98 0.97 0.53 0.67 0.53 0.32 0.3 0.32 0.19 0.15 0.15 0.37 0.26 0.37 0.88 0.8 0.84
"она" 0.35 0.34 0.3 0.43 0.39 0.49 0.29 0.4 0.29 0.67 0.8 0.69 0.58 0.75 0.72 0.41 0.43 0.42
"ли" 0.61 0.53 0.56 0.44 0.58 0.6 0.49 0.61 0.53 0.18 0.2 0.28 0.44 0.47 0.55 0.54 0.52 0.46
"молодец" 0.51 0.48 0.44 0.54 0.57 0.56 0.49 0.47 0.46 0.02 0.01 0.01 0.45 0.56 0.41 0.85 0.74 0.84
"весь" 0.39 0.39 0.51 0.58 0.5 0.46 0.52 0.52 0.59 0.43 0.36 0.41 0.4 0.31 0.38 0.4 0.27 0.45
"вы" 0.32 0.35 0.34 0.42 0.51 0.53 0.41 0.48 0.36 0.45 0.49 0.35 0.48 0.41 0.5 0.59 0.37 0.51
"к" 0.33 0.34 0.3 0.5 0.29 0.27 0.42 0.34 0.42 0.55 0.56 0.6 0.46 0.57 0.55 0.41 0.29 0.49
"мы" 0.19 0.28 0.34 0.4 0.44 0.44 0.41 0.26 0.25 0.5 0.65 0.64 0.44 0.46 0.44 0.42 0.56 0.5
"свой" 0.26 0.34 0.33 0.57 0.43 0.53 0.34 0.45 0.38 0.52 0.38 0.39 0.35 0.32 0.41 0.29 0.35 0.36
"друг" 0.22 0.21 0.23 0.24 0.32 0.28 0.37 0.39 0.44 0.23 0.31 0.31 0.8 0.75 0.78 0.31 0.24 0.31
"красный" 0.28 0.38 0.35 0.54 0.46 0.43 0.5 0.57 0.44 0.03 0.02 0 0.37 0.54 0.56 0.5 0.39 0.36
"уж" 0.45 0.39 0.3 0.47 0.45 0.39 0.31 0.24 0.3 0.11 0.23 0.13 0.36 0.4 0.39 0.52 0.52 0.36
"девица" 0.26 0.28 0.28 0.33 0.33 0.34 0.48 0.51 0.42 0.05 0.01 0.01 0.66 0.63 0.62 0.4 0.33 0.35
"ах" 0.24 0.2 0.25 0.12 0.09 0.15 0.86 0.88 0.83 0.1 0.12 0.05 0.6 0.51 0.56 0.3 0.23 0.17
"со" 0.41 0.35 0.33 0.47 0.49 0.58 0.33 0.42 0.45 0.09 0.05 0.14 0.25 0.3 0.2 0.44 0.44 0.49
"любить" 0.3 0.26 0.3 0.36 0.38 0.51 0.52 0.39 0.42 0.27 0.16 0.27 0.27 0.35 0.4 0.26 0.39 0.36
"все" 0.19 0.2 0.16 0.22 0.25 0.35 0.35 0.37 0.31 0.47 0.49 0.56 0.43 0.38 0.49 0.18 0.2 0.27
"тот" 0.31 0.21 0.33 0.42 0.44 0.3 0.36 0.4 0.49 0.26 0.23 0.28 0.25 0.24 0.38 0.37 0.28 0.32
"сердце" 0.25 0.24 0.28 0.23 0.12 0.13 0.25 0.23 0.27 0.28 0.4 0.2 0.73 0.71 0.69 0.17 0.18 0.09
"белый" 0.32 0.34 0.38 0.43 0.54 0.47 0.27 0.31 0.31 0.06 0.05 0.01 0.24 0.22 0.24 0.38 0.41 0.41
"ни" 0.26 0.27 0.29 0.41 0.42 0.43 0.29 0.28 0.31 0.27 0.2 0.26 0.29 0.35 0.36 0.15 0.15 0.27
"бы" 0.68 0.55 0.61 0.26 0.2 0.2 0.26 0.3 0.33 0.12 0.11 0.2 0.26 0.17 0.24 0.24 0.2 0.23
"из" 0.24 0.22 0.33 0.27 0.23 0.29 0.34 0.37 0.31 0.32 0.3 0.21 0.23 0.22 0.19 0.28 0.29 0.27
"матушка" 0.58 0.56 0.59 0.31 0.33 0.39 0.21 0.27 0.27 0 0 0 0.11 0.13 0.08 0.42 0.31 0.25
"от" 0.21 0.19 0.26 0.2 0.21 0.2 0.2 0.21 0.21 0.32 0.37 0.41 0.37 0.33 0.35 0.2 0.25 0.28
"молодой" 0.31 0.31 0.36 0.39 0.35 0.42 0.22 0.33 0.29 0.11 0.06 0.1 0.15 0.08 0.09 0.35 0.33 0.35
"под" 0.27 0.18 0.23 0.3 0.24 0.33 0.31 0.27 0.17 0.3 0.23 0.17 0.23 0.22 0.17 0.27 0.36 0.35
"твой" 0.14 0.13 0.12 0.19 0.15 0.14 0.27 0.26 0.21 0.41 0.5 0.35 0.38 0.25 0.44 0.18 0.12 0.22
"они" 0.09 0.14 0.16 0.23 0.15 0.13 0.26 0.29 0.3 0.47 0.48 0.44 0.22 0.24 0.18 0.2 0.18 0.21
"один" 0.14 0.13 0.19 0.27 0.3 0.26 0.22 0.26 0.24 0.25 0.19 0.25 0.37 0.31 0.31 0.23 0.15 0.23
"душа" 0.08 0.06 0.09 0.14 0.19 0.13 0.24 0.17 0.17 0.33 0.43 0.39 0.42 0.47 0.34 0.14 0.2 0.24
"пойти" 0.22 0.28 0.32 0.44 0.35 0.46 0.25 0.21 0.25 0.04 0.05 0.06 0.13 0.12 0.14 0.28 0.38 0.24
"ко" 0.31 0.28 0.4 0.38 0.3 0.26 0.32 0.27 0.27 0.04 0.03 0.01 0.12 0.14 0.15 0.32 0.29 0.31
"себя" 0.26 0.25 0.28 0.18 0.23 0.17 0.25 0.27 0.27 0.2 0.23 0.27 0.21 0.25 0.16 0.15 0.23 0.3
"ходить" 0.21 0.23 0.26 0.29 0.31 0.3 0.4 0.37 0.31 0 0.04 0.05 0.19 0.18 0.09 0.29 0.34 0.3
"сам" 0.3 0.28 0.27 0.26 0.28 0.23 0.33 0.34 0.32 0.2 0.15 0.14 0.06 0.1 0.11 0.25 0.26 0.27
"зеленый" 0.36 0.33 0.4 0.39 0.35 0.19 0.26 0.26 0.23 0.04 0.04 0.04 0.1 0.18 0.07 0.28 0.24 0.33
"кто" 0.32 0.34 0.35 0.18 0.17 0.25 0.19 0.13 0.15 0.26 0.23 0.35 0.16 0.17 0.18 0.15 0.25 0.2
"девушка" 0.33 0.29 0.24 0.5 0.46 0.47 0.22 0.17 0.23 0 0.01 0.01 0.11 0.06 0.06 0.25 0.34 0.27
"без" 0.22 0.21 0.26 0.2 0.19 0.18 0.07 0.09 0.07 0.2 0.17 0.27 0.4 0.53 0.47 0.16 0.1 0.12
"батюшка" 0.44 0.56 0.51 0.28 0.25 0.3 0.21 0.16 0.22 0.01 0.01 0 0.05 0.08 0.08 0.29 0.21 0.19
"жена" 0.34 0.28 0.32 0.31 0.29 0.38 0.14 0.16 0.17 0.07 0.06 0.02 0.06 0.06 0.09 0.39 0.35 0.35
"гулять" 0.33 0.33 0.31 0.37 0.32 0.34 0.28 0.31 0.29 0.01 0.01 0.03 0.09 0.06 0.02 0.27 0.21 0.24
"идти" 0.14 0.12 0.15 0.22 0.32 0.29 0.31 0.36 0.36 0.15 0.09 0.11 0.1 0.08 0.07 0.24 0.3 0.36
"нет" 0.14 0.11 0.13 0.17 0.16 0.07 0.11 0.16 0.15 0.2 0.31 0.28 0.44 0.49 0.37 0.12 0.15 0.12
"добрый" 0.21 0.21 0.15 0.22 0.17 0.34 0.15 0.17 0.23 0.08 0.03 0.04 0.19 0.25 0.2 0.37 0.3 0.34
"поле" 0.31 0.25 0.29 0.21 0.27 0.16 0.15 0.14 0.17 0.16 0.06 0.1 0.23 0.28 0.28 0.17 0.23 0.14
"где" 0.14 0.22 0.18 0.14 0.15 0.17 0.16 0.15 0.15 0.4 0.27 0.27 0.3 0.27 0.25 0.09 0.1 0.15
"ль" 0.24 0.17 0.15 0.13 0.19 0.12 0.3 0.32 0.29 0.13 0.09 0.11 0.28 0.35 0.25 0.1 0.2 0.12
"жить" 0.16 0.17 0.21 0.21 0.27 0.19 0.19 0.17 0.16 0.11 0.22 0.15 0.27 0.27 0.22 0.12 0.2 0.23
