;"CONTROL_SOBOLEVSKY";"KIREEVSKY";"PESENNIKI";"RUSCORPORA";"RUSSKIE_PESNI";"SOBOLEVSKY"
"злодейка";0.0292080447;0.008037616;0.0146591742;0.0018197583;0.0470035253;0.0059224955
"лютый";0.0417257782;0.046618173;0.0195455656;0.0122566073;0.10304619;0.0385917452
"ненаглядный";0.0083451556;0.0008037616;0;0.0018732806;0.0885835668;0.0017194342
"солнышко";0.0417257782;0.0417956034;0.0537503054;0.0049775742;0.1536653711;0.0343886838
"пташка";0.0542435116;0.0353655106;0.0293183484;0.0018732806;0.0723131158;0.0196779691
"подруженька";0.0166903113;0.0217015633;0.0097727828;0.0004817007;0.0759287716;0.0210153068
"доля";0.0041725778;0.0160752321;0;0.01627078;0.0705052879;0.0053493508
"звездочка";0;0.0032150464;0;0.0031042936;0.0560426647;0.0013373377
"кручина";0.1084870233;0.0353655106;0.0537503054;0.0048705295;0.0921992226;0.0340065873
"вечерок";0.0041725778;0.0024112848;0.0048863914;0.0030507713;0.0235017626;0.0028657237
"кручинушка";0.0125177335;0.0128601857;0.0048863914;0.0003211338;0.0451956974;0.0158570042
"кольцо";0.0166903113;0.0088413776;0;0.0106509382;0.0958148784;0.0175764384
"цветочек";0.0250354669;0.0233090865;0.0439775226;0.0034789497;0.0560426647;0.0301856225
