 "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"KIREEVSKY_1" 0 0.4992968267 0.4882109658 0.8510252824 1.6046437625 1.3821429379 1.2917960883 1.4039940711 1.5456284489 1.5904470412 1.5573130485 0.6434602294 0.6458421977 0.631086882
"KIREEVSKY_2" 0.4992968267 0 0.426633446 0.7687774579 1.6234893697 1.3541732936 1.304956743 1.3812082482 1.465516514 1.4692601398 1.4796750105 0.5899787232 0.5812309117 0.5727532549
"KIREEVSKY_3" 0.4882109658 0.426633446 0 0.8093665968 1.5923045023 1.3577054867 1.2468001501 1.3569425823 1.4806160294 1.4911494704 1.4980456343 0.6355830104 0.601537918 0.6069460702
"PESENNIKI" 0.8510252824 0.7687774579 0.8093665968 0 1.355985239 1.1373471737 1.1448587827 1.1561872579 1.2892091959 1.3281066477 1.3195794937 0.7569338348 0.7654344815 0.7520027382
"RP_1810" 1.6046437625 1.6234893697 1.5923045023 1.355985239 0 1.0205990863 1.0133710056 1.0686358428 1.2542624655 1.2746529731 1.2611811879 1.6412779252 1.6387876032 1.6090130009
"RP_1820" 1.3821429379 1.3541732936 1.3577054867 1.1373471737 1.0205990863 0 0.7780045018 0.9069236085 1.1458310386 1.1742175955 1.1564352741 1.3557140269 1.3901029833 1.3404234764
"RP_1830" 1.2917960883 1.304956743 1.2468001501 1.1448587827 1.0133710056 0.7780045018 0 0.7488014037 1.0973193965 1.1114712199 1.0805614433 1.290200299 1.2765015345 1.2769140044
"RP_1840" 1.4039940711 1.3812082482 1.3569425823 1.1561872579 1.0686358428 0.9069236085 0.7488014037 0 1.0600164406 1.0733581876 1.0699514393 1.3641002715 1.3510658214 1.350459395
"ruscorpora_1" 1.5456284489 1.465516514 1.4806160294 1.2892091959 1.2542624655 1.1458310386 1.0973193965 1.0600164406 0 0.4464190699 0.4240599823 1.4635840122 1.4810689128 1.4678250966
"ruscorpora_2" 1.5904470412 1.4692601398 1.4911494704 1.3281066477 1.2746529731 1.1742175955 1.1114712199 1.0733581876 0.4464190699 0 0.4266714971 1.4990518592 1.4795409193 1.4788079695
"ruscorpora_3" 1.5573130485 1.4796750105 1.4980456343 1.3195794937 1.2611811879 1.1564352741 1.0805614433 1.0699514393 0.4240599823 0.4266714971 0 1.482506103 1.472485119 1.4740053115
"SOBOLEVSKY_1" 0.6434602294 0.5899787232 0.6355830104 0.7569338348 1.6412779252 1.3557140269 1.290200299 1.3641002715 1.4635840122 1.4990518592 1.482506103 0 0.4382822731 0.4774433848
"SOBOLEVSKY_2" 0.6458421977 0.5812309117 0.601537918 0.7654344815 1.6387876032 1.3901029833 1.2765015345 1.3510658214 1.4810689128 1.4795409193 1.472485119 0.4382822731 0 0.456268683
"SOBOLEVSKY_3" 0.631086882 0.5727532549 0.6069460702 0.7520027382 1.6090130009 1.3404234764 1.2769140044 1.350459395 1.4678250966 1.4788079695 1.4740053115 0.4774433848 0.456268683 0
