"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"я" 3.09 3.075 3.295 4.20229660395798 3.92830310185682 3.55346966141468 3.78700328918126 4.14691943127962 2.185 2.5 2.27 3.155 3.3 3.165
"не" 2.655 2.83 2.72 2.799902272172 3.56337876999034 3.44451894066376 3.39141257000622 3.35985104942451 1.865 1.68 1.5 2.775 2.605 2.89
"и" 0.965 0.83 0.81 1.37307598338627 1.88902007083825 2.04492122024807 2.13352297982043 2.27657413676371 4.365 4.55 4.675 1.06 0.96 0.845
"в" 1.505 1.47 1.325 1.81773760078182 2.43640656863797 2.70700636942675 2.53800337807805 2.5727826675694 2.815 2.855 2.68 1.495 1.385 1.425
"ты" 1.96 1.915 1.68 2.01807964817982 2.76913169475153 2.59805564867583 1.97795359587519 2.28503723764387 1.28 1.175 1.245 1.88 1.92 1.89
"на" 1.915 1.97 2.065 1.78353286098216 1.45969732746592 1.5588333892055 1.52902480220464 1.27792823290454 1.265 1.29 1.26 2.085 2.12 1.96
"мой" 1.635 1.565 1.48 1.76887368678231 1.47043039605023 1.26550452564532 1.52902480220464 1.54874746106974 0.825 0.725 0.675 1.475 1.425 1.39
"с" 1.23 1.145 1.24 1.04568775958954 1.59922721906193 1.65940328528327 1.48902124633301 1.32024373730535 1.23 1.24 1.36 1 1.05 0.84
"он" 0.675 0.74 0.78 0.850232103591498 0.987442309756359 1.10626885685551 1.017868254956 0.964793500338524 1.43 1.37 1.395 0.83 0.79 0.825
"что" 0.74 0.8 0.855 1.10921084778891 0.955243104003435 1.08950720750922 0.986754378166948 1.23561272850372 0.81 0.82 0.745 0.94 0.865 0.935
"как" 0.72 0.67 0.645 0.811140972391889 0.772780938070194 0.821320817968488 0.9556405013779 0.846310088016249 1.005 1.075 0.98 0.855 0.885 0.795
"по" 1.235 1.195 1.155 0.938187148790618 0.504454223462488 0.628561850486088 0.72895368477198 0.592417061611374 0.29 0.3 0.25 1.185 1.085 1.135
"быть" 0.74 0.81 0.73 0.796481798192035 0.987442309756359 0.636942675159236 0.648946573028714 0.854773188896412 0.955 0.85 0.885 0.635 0.8 0.715
"то" 0.975 0.935 0.965 0.776936232592231 0.386390469035097 0.31009051290647 0.502266868166059 0.482396750169262 0.5 0.51 0.5 1.13 1.085 1.19
"за" 0.98 1.115 1.1 0.923527974590765 0.579585703552646 0.444183707676835 0.524491065872522 0.524712254570074 0.465 0.385 0.355 0.895 0.88 0.76
"во" 1.14 1.185 1.06 1.02614219398974 0.364924331866481 0.201139792155548 0.248911014312383 0.118483412322275 0.12 0.175 0.13 1.15 1.155 0.925
"а" 0.695 0.63 0.615 0.674322013193257 0.397123537619405 0.419041233657392 0.515601386789937 0.592417061611374 0.405 0.39 0.48 0.795 0.775 0.855
"у" 0.755 0.705 0.745 0.718299535792817 0.300525920360631 0.561515253100905 0.480042670459596 0.186188219363575 0.205 0.21 0.245 0.795 0.95 0.85
"милый" 0.725 0.675 0.705 0.791595406792084 1.05184072126221 1.05598390881663 0.568939461285448 0.524712254570074 0.145 0.15 0.15 0.585 0.665 0.625
"она" 0.42 0.455 0.43 0.346933789396531 1.00890844692498 0.636942675159236 0.840074673304294 0.592417061611374 0.675 0.75 0.68 0.345 0.31 0.385
"да" 0.625 0.57 0.52 0.351820180796482 0.0536653429215413 0.184378142809252 0.337807805138234 0.50778605280975 0.21 0.18 0.17 0.88 0.84 0.815
"вы" 0.56 0.49 0.475 0.444661617395553 0.794247075238811 0.351994636272209 0.311138767890479 0.448544346648612 0.345 0.44 0.415 0.44 0.5 0.565
"мы" 0.435 0.475 0.43 0.288297092597117 0.601051840721262 0.351994636272209 0.324473286514357 0.516249153689912 0.515 0.535 0.625 0.41 0.5 0.495
"к" 0.365 0.395 0.33 0.449548008795504 0.622517977889879 0.460945357023131 0.480042670459596 0.490859851049425 0.495 0.51 0.51 0.485 0.415 0.42
"молодец" 0.645 0.61 0.525 0.469093574395309 0.257593646023398 0.561515253100905 0.413370077340208 0.50778605280975 0.01 0 0.015 0.73 0.745 0.785
"весь" 0.465 0.56 0.485 0.478866357195211 0.472255017709563 0.293328863560174 0.306693928349187 0.380839539607312 0.385 0.365 0.49 0.445 0.44 0.475
"ли" 0.49 0.575 0.56 0.547275836794527 0.643984115058495 0.460945357023131 0.377811361009868 0.465470548408937 0.145 0.135 0.215 0.46 0.49 0.475
"свой" 0.44 0.41 0.44 0.381138529196189 0.590318772136954 0.343613811599061 0.280024891101431 0.363913337846987 0.455 0.455 0.46 0.375 0.325 0.385
"красный" 0.51 0.585 0.6 0.498411922795016 0.49372115487818 0.787797519275897 0.471152991377011 0.346987136086662 0.025 0.015 0.015 0.4 0.43 0.4
"все" 0.275 0.26 0.245 0.288297092597117 0.450788880540947 0.360375460945357 0.466708151835719 0.516249153689912 0.595 0.585 0.51 0.215 0.225 0.245
"друг" 0.22 0.25 0.3 0.395797703396042 0.804980143823119 1.04760308414348 0.533380744955107 0.600880162491537 0.33 0.275 0.235 0.19 0.265 0.265
"уж" 0.54 0.44 0.495 0.234546787197655 0.18246216593324 0.301709688233322 0.40003555871633 0.37237643872715 0.225 0.21 0.16 0.42 0.43 0.405
"девица" 0.345 0.335 0.33 0.493525531395065 0.332725126113556 1.19007710358699 0.542270424037692 0.482396750169262 0.005 0.02 0.005 0.395 0.32 0.36
"тот" 0.39 0.32 0.32 0.434888834595651 0.24686057743909 0.226282266174992 0.311138767890479 0.355450236966825 0.25 0.25 0.34 0.355 0.39 0.335
