Журнал,Период,"""Романс""","""Песня""",Подражание фольклорной песне,% от песен,% от всего
Аглая,1808-1810,19,16,1,6.25,2.86
Вестник Европы,1802-1810,6,15,1,6.67,4.76
Журнал для милых,1804,0,15,2,13.33,13.33
Друг просвещения,1804-1806,2,33,1,3.03,2.86
Любитель словесности,1806,0,3,2,66.67,66.67
Московский вестник,1809,1,7,0,0.00,0.00
Московский журнал,1801-1803 (1791-1792),0,6,0,0.00,0.00
Московский зритель,1806,4,4,0,0.00,0.00
Московский курьер,1806,1,5,2,40.00,33.33
Московский собеседник,1806,0,4,1,25.00,25.00
Новости русской литературы,1802-1805,4,20,2,10.00,8.33
Патриот,1804,1,1,0,0.00,0.00
Северный вестник,1804-1805,0,1,0,0.00,0.00
Урания,1804,0,3,0,0.00,0.00
Всего,,38,133,12,9.02,7.02
