Meter;melody_src;freq
Х6м;Скучно матушка весною жить одной;5
Х6м;Вечор был я на почтовом на дворе;3
Пс2;Как на матушке на Неве реке;3
Ан2м + Х3ж;Во донских во лесках;1
Пс;Ты душа моя красна девица;1
Пс2;уж как пал туман на сине море;1
Пс2;Я люблю тебя, душа-девица;1
Х42ж;Ты проходишь дорогая мимо кельи;1
Х42ж (Х6ж);В посиделках девки пряли;1
Х43ж;При долинушке стояла;1
Х443жжм;За горами за долами;1
Х4д;Ах талан ли мой талан такой;1
Х4д;Говорил то мне сердечный друг;1
Х6м;Как за реченькой слободушка стоит;1
Х6м;Ты поди моя коровушка домой;1
Х6м;Я не знала ни о чем в свете тужить;1
Я4м;Ах девица красавица;1
