ID;Name;Title;Year;I;II;III;IV;Всего стихов;;I;III
58;Бушмакин;Опущу я золотое;1826;6;11;7;12;12;;50;0.5833333333
34;Бушмакин;Голубочек что воркуешь;1827;7;15;6;16;16;;43.75;0.375
235;Лисицына;Сердцу милая девица;1828;23;36;9;36;36;;63.8888888889;0.25
117;Дельвиг;И я выду ль на крылечко;1828;3;12;1;12;12;;25;0.0833333333
221;Лжекудрявцев;Соберитесь девки красны;1832;9;15;8;16;16;;56.25;0.5
456;б/п;Бьется бьется ретивое;1832;9;20;8;20;20;;45;0.4
432;Чижов, П.;В путь далекий в путь унылый;1833;12;16;10;16;16;;75;0.625
123;Ершов;Полетай мой голубочек;1834;14;40;16;40;40;;35;0.4
125;Ершов;Уж не цвесть цветку в пустыне;1835;13;20;8;20;20;;65;0.4
134;Загоскин;Гой ты днепр ли мой широкий;1835;6;12;7;12;12;;50;0.5833333333
218;Кропоткин;На сторонушку родную;1837;29;53;22;52;52;;55.7692307692;0.4230769231
355;Стромилов;Ветер ветер одинокий;1837;8;20;6;20;20;;40;0.3
506;Айбулат-Розен;Что склонившись у окошка;1838;8;16;8;16;16;;50;0.5
554;Глинка С.;Покажися месяц ясный;1828;16;21;15;24;24;;66.6666666667;0.625
323;Пуговишников, А.М.;Добрый молодец я в поле;1838;11;35;6;35;35;;31.4285714286;0.1714285714
;;;Всего;174;342;137;347;347;;;
